[L88 , C9  ] IDENTIFIER     --> "System"
[L88 , C15 ] SEPARATOR      --> "."
[L88 , C16 ] IDENTIFIER     --> "out"
[L88 , C19 ] SEPARATOR      --> "."
[L88 , C20 ] IDENTIFIER     --> "println"
[L88 , C27 ] SEPARATOR      --> "("
[L88 , C28 ] STRINGLIT      --> ""3. Completar tarea""
[L88 , C48 ] SEPARATOR      --> ")"
[L88 , C49 ] SEPARATOR      --> ";"
[L89 , C9  ] IDENTIFIER     --> "System"
[L89 , C15 ] SEPARATOR      --> "."
[L89 , C16 ] IDENTIFIER     --> "out"
[L89 , C19 ] SEPARATOR      --> "."
[L89 , C20 ] IDENTIFIER     --> "println"
[L89 , C27 ] SEPARATOR      --> "("
[L89 , C28 ] STRINGLIT      --> ""4. Eliminar tarea""
[L89 , C47 ] SEPARATOR      --> ")"
[L89 , C48 ] SEPARATOR      --> ";"
[L90 , C9  ] IDENTIFIER     --> "System"
[L90 , C15 ] SEPARATOR      --> "."
[L90 , C16 ] IDENTIFIER     --> "out"
[L90 , C19 ] SEPARATOR      --> "."
[L90 , C20 ] IDENTIFIER     --> "println"
[L90 , C27 ] SEPARATOR      --> "("
[L90 , C28 ] STRINGLIT      --> ""5. Salir""
[L90 , C38 ] SEPARATOR      --> ")"
[L90 , C39 ] SEPARATOR      --> ";"
[L91 , C5  ] SEPARATOR      --> "}"
[L93 , C5  ] KEYWORD        --> "private"
[L93 , C13 ] KEYWORD        --> "static"
[L93 , C20 ] KEYWORD        --> "void"
[L93 , C25 ] IDENTIFIER     --> "agregarTarea"
[L93 , C37 ] SEPARATOR      --> "("
[L93 , C38 ] IDENTIFIER     --> "Scanner"
[L93 , C46 ] IDENTIFIER     --> "scanner"
[L93 , C53 ] SEPARATOR      --> ")"
[L93 , C55 ] SEPARATOR      --> "{"
[L94 , C9  ] IDENTIFIER     --> "System"
[L94 , C15 ] SEPARATOR      --> "."
[L94 , C16 ] IDENTIFIER     --> "out"
[L94 , C19 ] SEPARATOR      --> "."
[L94 , C20 ] IDENTIFIER     --> "print"
[L94 , C25 ] SEPARATOR      --> "("
[L94 , C26 ] STRINGLIT      --> ""Nombre de la tarea: ""
[L94 , C48 ] SEPARATOR      --> ")"
[L94 , C49 ] SEPARATOR      --> ";"
[L95 , C9  ] IDENTIFIER     --> "String"
[L95 , C16 ] IDENTIFIER     --> "nombre"
[L95 , C23 ] OPERATOR       --> "="
[L95 , C25 ] IDENTIFIER     --> "scanner"
[L95 , C32 ] SEPARATOR      --> "."
[L95 , C33 ] IDENTIFIER     --> "nextLine"
[L95 , C41 ] SEPARATOR      --> "("
[L95 , C42 ] SEPARATOR      --> ")"
[L95 , C43 ] SEPARATOR      --> ";"
[L97 , C9  ] IDENTIFIER     --> "System"
[L97 , C15 ] SEPARATOR      --> "."
[L97 , C16 ] IDENTIFIER     --> "out"
[L97 , C19 ] SEPARATOR      --> "."
[L97 , C20 ] IDENTIFIER     --> "print"
[L97 , C25 ] SEPARATOR      --> "("
[L97 , C26 ] STRINGLIT      --> ""Prioridad (1-5): ""
[L97 , C45 ] SEPARATOR      --> ")"
[L97 , C46 ] SEPARATOR      --> ";"
[L98 , C9  ] KEYWORD        --> "int"
[L98 , C13 ] IDENTIFIER     --> "prioridad"
[L98 , C23 ] OPERATOR       --> "="
[L98 , C25 ] IDENTIFIER     --> "scanner"
[L98 , C32 ] SEPARATOR      --> "."
[L98 , C33 ] IDENTIFIER     --> "nextInt"
[L98 , C40 ] SEPARATOR      --> "("
[L98 , C41 ] SEPARATOR      --> ")"
[L98 , C42 ] SEPARATOR      --> ";"
[L99 , C9  ] IDENTIFIER     --> "scanner"
[L99 , C16 ] SEPARATOR      --> "."
[L99 , C17 ] IDENTIFIER     --> "nextLine"
[L99 , C25 ] SEPARATOR      --> "("
[L99 , C26 ] SEPARATOR      --> ")"
[L99 , C27 ] SEPARATOR      --> ";"
[L101, C9  ] IDENTIFIER     --> "Tarea"
[L101, C15 ] IDENTIFIER     --> "nueva"
[L101, C21 ] OPERATOR       --> "="
[L101, C23 ] KEYWORD        --> "new"
[L101, C27 ] IDENTIFIER     --> "Tarea"
[L101, C32 ] SEPARATOR      --> "("
[L101, C33 ] IDENTIFIER     --> "nombre"
[L101, C39 ] SEPARATOR      --> ","
[L101, C41 ] IDENTIFIER     --> "prioridad"
[L101, C50 ] SEPARATOR      --> ")"
[L101, C51 ] SEPARATOR      --> ";"
[L102, C9  ] IDENTIFIER     --> "tareas"
[L102, C15 ] SEPARATOR      --> "."
[L102, C16 ] IDENTIFIER     --> "add"
[L102, C19 ] SEPARATOR      --> "("
[L102, C20 ] IDENTIFIER     --> "nueva"
[L102, C25 ] SEPARATOR      --> ")"
[L102, C26 ] SEPARATOR      --> ";"
[L104, C9  ] IDENTIFIER     --> "System"
[L104, C15 ] SEPARATOR      --> "."
[L104, C16 ] IDENTIFIER     --> "out"
[L104, C19 ] SEPARATOR      --> "."
[L104, C20 ] IDENTIFIER     --> "println"
[L104, C27 ] SEPARATOR      --> "("
[L104, C28 ] STRINGLIT      --> ""Tarea agregada correctamente""
[L104, C58 ] SEPARATOR      --> ")"
[L104, C59 ] SEPARATOR      --> ";"
[L105, C5  ] SEPARATOR      --> "}"
[L107, C5  ] KEYWORD        --> "private"
[L107, C13 ] KEYWORD        --> "static"
[L107, C20 ] KEYWORD        --> "void"
[L107, C25 ] IDENTIFIER     --> "listarTareas"
[L107, C37 ] SEPARATOR      --> "("
[L107, C38 ] SEPARATOR      --> ")"
[L107, C40 ] SEPARATOR      --> "{"
[L108, C9  ] KEYWORD        --> "if"
[L108, C12 ] SEPARATOR      --> "("
[L108, C13 ] IDENTIFIER     --> "tareas"
[L108, C19 ] SEPARATOR      --> "."
[L108, C20 ] IDENTIFIER     --> "isEmpty"
[L108, C27 ] SEPARATOR      --> "("
[L108, C28 ] SEPARATOR      --> ")"
[L108, C29 ] SEPARATOR      --> ")"
[L108, C31 ] SEPARATOR      --> "{"
[L109, C13 ] IDENTIFIER     --> "System"
[L109, C19 ] SEPARATOR      --> "."
[L109, C20 ] IDENTIFIER     --> "out"
[L109, C23 ] SEPARATOR      --> "."
[L109, C24 ] IDENTIFIER     --> "println"
[L109, C31 ] SEPARATOR      --> "("
[L109, C32 ] STRINGLIT      --> ""No hay tareas registradas""
[L109, C59 ] SEPARATOR      --> ")"
[L109, C60 ] SEPARATOR      --> ";"
[L110, C13 ] KEYWORD        --> "return"
[L110, C19 ] SEPARATOR      --> ";"
[L111, C9  ] SEPARATOR      --> "}"
[L113, C9  ] IDENTIFIER     --> "System"
[L113, C15 ] SEPARATOR      --> "."
[L113, C16 ] IDENTIFIER     --> "out"
[L113, C19 ] SEPARATOR      --> "."
[L113, C20 ] IDENTIFIER     --> "println"
[L113, C27 ] SEPARATOR      --> "("
[L113, C28 ] STRINGLIT      --> ""\nLista de tareas:""
[L113, C48 ] SEPARATOR      --> ")"
[L113, C49 ] SEPARATOR      --> ";"
[L114, C9  ] KEYWORD        --> "for"
[L114, C13 ] SEPARATOR      --> "("
[L114, C14 ] KEYWORD        --> "int"
[L114, C18 ] IDENTIFIER     --> "i"
[L114, C20 ] OPERATOR       --> "="
[L114, C22 ] INTEGERLIT     --> "0"
[L114, C23 ] SEPARATOR      --> ";"
[L114, C25 ] IDENTIFIER     --> "i"
[L114, C27 ] OPERATOR       --> "<"
[L114, C29 ] IDENTIFIER     --> "tareas"
[L114, C35 ] SEPARATOR      --> "."
[L114, C36 ] IDENTIFIER     --> "size"
[L114, C40 ] SEPARATOR      --> "("
[L114, C41 ] SEPARATOR      --> ")"
[L114, C42 ] SEPARATOR      --> ";"
[L114, C44 ] IDENTIFIER     --> "i"
[L114, C45 ] OPERATOR       --> "++"
[L114, C47 ] SEPARATOR      --> ")"
[L114, C49 ] SEPARATOR      --> "{"
[L115, C13 ] IDENTIFIER     --> "System"
[L115, C19 ] SEPARATOR      --> "."
[L115, C20 ] IDENTIFIER     --> "out"
[L115, C23 ] SEPARATOR      --> "."
[L115, C24 ] IDENTIFIER     --> "println"
[L115, C31 ] SEPARATOR      --> "("
[L115, C32 ] SEPARATOR      --> "("
[L115, C33 ] IDENTIFIER     --> "i"
[L115, C35 ] OPERATOR       --> "+"
[L115, C37 ] INTEGERLIT     --> "1"
[L115, C38 ] SEPARATOR      --> ")"
[L115, C40 ] OPERATOR       --> "+"
[L115, C42 ] STRINGLIT      --> "". ""
[L115, C47 ] OPERATOR       --> "+"
[L115, C49 ] IDENTIFIER     --> "tareas"
[L115, C55 ] SEPARATOR      --> "."
[L115, C56 ] IDENTIFIER     --> "get"
[L115, C59 ] SEPARATOR      --> "("
[L115, C60 ] IDENTIFIER     --> "i"
[L115, C61 ] SEPARATOR      --> ")"
[L115, C62 ] SEPARATOR      --> ")"
[L115, C63 ] SEPARATOR      --> ";"
[L116, C9  ] SEPARATOR      --> "}"
[L117, C5  ] SEPARATOR      --> "}"
[L119, C5  ] KEYWORD        --> "private"
[L119, C13 ] KEYWORD        --> "static"
[L119, C20 ] KEYWORD        --> "void"
[L119, C25 ] IDENTIFIER     --> "completarTarea"
[L119, C39 ] SEPARATOR      --> "("
[L119, C40 ] IDENTIFIER     --> "Scanner"
[L119, C48 ] IDENTIFIER     --> "scanner"
[L119, C55 ] SEPARATOR      --> ")"
[L119, C57 ] SEPARATOR      --> "{"
[L120, C9  ] IDENTIFIER     --> "listarTareas"
[L120, C21 ] SEPARATOR      --> "("
[L120, C22 ] SEPARATOR      --> ")"
[L120, C23 ] SEPARATOR      --> ";"
